,date,cape,caey,p-cape,p-caey,ern_cape,ern_caey
246,1891-07,15.600692813781997,0.06409971736105065,14.367749682148649,0.06960032170120975,14.569449723177934,0.06863677208131899
247,1891-08,16.142357882668552,0.061948818584530496,14.880272357146076,0.06720307101904366,15.068256511830006,0.06636467856881156
248,1891-09,17.673039081403473,0.05658336381161823,16.30400146336176,0.06133463630061572,16.489992200084558,0.06064284251116093
249,1891-10,17.674670168997167,0.056578142077812726,16.318169425276345,0.06128138358773445,16.483793802456823,0.060665646026884616
250,1891-11,17.621942552862365,0.056747432753239124,16.278636447588372,0.061430206591298796,16.42719227622251,0.06087467554923838
251,1891-12,18.151309410851493,0.055092444151834286,16.777144041221977,0.05960490042542212,16.90990742350679,0.05913692931339651
252,1892-01,18.956084975658836,0.05275350903333055,17.532091275800784,0.057038261110371996,17.649723113109626,0.05665811262825043
253,1892-02,18.970737855712027,0.05271276255071456,17.558601332725257,0.05695214448181738,17.654739700084892,0.05664201324900823
254,1892-03,19.66184242680193,0.050859933585718074,18.212294287015688,0.054907964051126835,18.28704778798981,0.05468351215534961
255,1892-04,19.861107413899234,0.05034965972240694,18.411634795000634,0.054313482270000976,18.46234295442422,0.05416430636504698
256,1892-05,19.829295621390422,0.050430434801792545,18.39795985572039,0.05435385270117734,18.42305049252029,0.05427982735030756
257,1892-06,19.683573294428378,0.050803783695263276,18.27953931747939,0.05470597385590418,18.27872376080874,0.05470841471679175
258,1892-07,19.131672402324526,0.052269345772327704,17.77719765522914,0.05625183560390078,17.75462873911627,0.05632334050426191
259,1892-08,19.122746550586275,0.05229374333622288,17.777845311850733,0.05624978631878402,17.734996461936092,0.05638568928650534
260,1892-09,18.618165487966202,0.05371098461050564,17.316516493216035,0.057748335260833936,17.257165034535173,0.05794694539913087
261,1892-10,18.95936814053693,0.052744373788591876,17.643131235313128,0.05667928139640413,17.563487509306434,0.05693630034867085
262,1892-11,18.38645187025902,0.05438787249744192,17.120425840972374,0.05840976207535758,17.021444691273178,0.05874941981350712
263,1892-12,17.94075394204238,0.05573901761489516,16.715095603238126,0.059826160958736926,16.59805246751791,0.06024803222890047
264,1893-01,17.597884694969647,0.0568250114904918,16.404513507943218,0.06095883303798011,16.269612551708686,0.06146427868652452
265,1893-02,17.074666232016185,0.058566298539114665,15.925995825616544,0.06279042208409513,15.777573077171681,0.06338110399544808
266,1893-03,16.850274321374233,0.05934621484064032,15.722292477098486,0.06360395606789702,15.563919565299011,0.06425116731068047
267,1893-04,17.056667498129862,0.058628099545801816,15.919266670130718,0.06281696391683027,15.749774898049605,0.06349297094549818
268,1893-05,15.743631718075443,0.0635177459627621,14.697963471574887,0.06803663663567738,14.535292662625876,0.06879806435347996
269,1893-06,15.38467204329251,0.06499976061797075,14.366234739362946,0.06960766116817216,14.203138556934855,0.07040697350035623
270,1893-07,14.319452533681726,0.06983507209146678,13.37245424562595,0.07478058863630767,13.218283540908924,0.075652787815084
271,1893-08,14.552714517884661,0.06871570240528274,13.592440817400899,0.07357030377647925,13.433239156733675,0.07444220923430298
272,1893-09,14.986120926902217,0.06672840856401058,13.998258519016138,0.07143745764100123,13.834960893072909,0.07228065245205678
273,1893-10,15.25137477851291,0.0655678595879017,14.247423277454365,0.07018813019912422,14.084993215401548,0.07099754928575527
274,1893-11,15.920631781114158,0.06281157769041863,14.870567909579155,0.0672469273588288,14.711475051118994,0.06797414919477686
275,1893-12,15.591242899142143,0.06413856845595176,14.561363083150804,0.06867488945160063,14.417999020723549,0.06935775197117583
276,1894-01,15.717702260958873,0.06362253104156931,14.676510550754802,0.06813608701753501,14.548333851662909,0.06873639347269293
277,1894-02,16.182737770682987,0.06179424113338984,15.107410082086234,0.06619268256878524,14.994155916057265,0.06669265049652434
278,1894-03,17.161778225392947,0.05826902007860572,16.015868558990977,0.062438074857864685,15.91956771485136,0.06281577602557012
279,1894-04,17.411478472652174,0.05743337658376788,16.241239589213556,0.06157165495324256,16.168253500473362,0.06184959927618173
280,1894-05,16.78888279505182,0.059563224796275877,15.651570644688325,0.06389135139861316,15.608022298166418,0.0640696163099073
281,1894-06,16.590054642555994,0.06027707693227538,15.45869750893466,0.06468850298817415,15.442501784582204,0.06475634673381746
282,1894-07,16.278435725837216,0.06143096405834591,15.157590481863474,0.06597354646812308,15.172887181035156,0.06590703457216215
283,1894-08,16.453111847445538,0.06077877603167556,15.30513916594269,0.0653375306919927,15.357744963452912,0.06511372616095117
284,1894-09,16.51847078902642,0.06053829151451003,15.348104829832245,0.06515462404558843,15.442280759369499,0.06475727359077167
285,1894-10,16.498762187859885,0.06061060754823291,15.312618779247053,0.06530561587253017,15.446224737589842,0.06474073872345039
286,1894-11,16.543063813548496,0.060448294902968124,15.333003045782633,0.06521879614933303,15.512037467726966,0.06446606398937055
287,1894-12,16.673904141353272,0.059973956400521736,15.429904248485785,0.06480921617502164,15.660869013441236,0.06385341701930661
288,1895-01,16.520513540481303,0.06053080599157127,15.266534997134114,0.06550274834385952,15.54519049010901,0.06432857806639766
289,1895-02,16.31646903891066,0.06128776989771821,15.05587009089415,0.06641927659862076,15.377862199031185,0.06502854473900804
290,1895-03,16.348662845526,0.06116708194723469,15.065402694215742,0.06637724993464285,15.429769188901922,0.06480978346191102
291,1895-04,16.371287706002647,0.06108255000816722,15.068489009739059,0.06636365460091456,15.472189099267037,0.06463209527650958
292,1895-05,17.057481580115574,0.05862530147274088,15.680279513560533,0.06377437335445363,16.13885695096744,0.061962256870989565
293,1895-06,17.181232764202004,0.05820304129070134,15.776443329119878,0.0633856427040319,16.27106288410068,0.06145880002572869
294,1895-07,17.513068671333084,0.05710021577411428,16.065413937914098,0.0622455172250506,16.59729093068708,0.06025079660145494
295,1895-08,18.033177322501604,0.055453344805311194,16.525030884277253,0.060514259065709244,17.102081406927283,0.05847241491874463
296,1895-09,18.15345380845307,0.05508593629353081,16.620204172584042,0.0601677325751242,17.225117582795214,0.05805475609634268
297,1895-10,17.891429994557708,0.055892681596953646,16.367270595082122,0.061097541840633485,16.982256513427636,0.05888498970730502
298,1895-11,17.284115874595596,0.0578565896720128,15.797468755085594,0.06330128044583569,16.4074672064701,0.06094785913121687
299,1895-12,16.48195997440985,0.06067239585295776,15.05332685733951,0.06643049802060418,15.646875191878902,0.06391052448088956
300,1896-01,16.51470253879621,0.060552104868423016,15.075181628444227,0.06633419249245893,15.67511275635456,0.06379539436452272
301,1896-02,17.454221601421466,0.05729272968085614,15.92409406896942,0.06279792091586898,16.563258080606662,0.060374595090736706
302,1896-03,17.180270219837123,0.05820630218291645,15.669044499308166,0.06382010083921537,16.303784394505875,0.06133545291098088
303,1896-04,17.59201762930826,0.05684396304458008,16.040168627540265,0.06234348423763102,16.694755360164756,0.05989905083521579
304,1896-05,17.786106497566376,0.056223659750200376,16.215956408842125,0.06166765467220465,16.879519318216243,0.05924339320023219
305,1896-06,17.73940356474436,0.05637168106302174,16.171437780083,0.06183742061770264,16.838807938143436,0.05938662663494071
306,1896-07,16.60426061343461,0.06022550616863323,15.137760151492877,0.06605997122377319,15.764378618691875,0.06343415266709572
307,1896-08,15.676472789623977,0.0637898597101438,14.293101041417325,0.06996382360288965,14.884881928882734,0.06718225947493696
308,1896-09,16.52247051813115,0.060523636516865736,15.067985819616137,0.06636587079197792,15.692112182561976,0.06372628415894582
309,1896-10,16.42382860495946,0.06088714294656196,14.981070773107728,0.06675090286570727,15.602483445928453,0.06409236090303015
310,1896-11,17.086561772592674,0.05852552510617017,15.590228004086837,0.06414274375832471,16.2361539468657,0.06159094101180561
311,1896-12,16.500854909225687,0.06060292060630728,15.062341153324674,0.06639074163973988,15.686814422782785,0.06374780583543128
312,1897-01,17.01233142490225,0.058780891050372056,15.537263484726191,0.06436139806620668,16.17996635353758,0.06180482568070115
313,1897-02,16.87489669568542,0.05925962203108956,15.4229552429054,0.06483841677878191,16.053302420096546,0.06229247875802404
314,1897-03,16.933506582291404,0.059054513909468254,15.486760357249068,0.06457128391813194,16.10995683698113,0.06207341274214063
