,apr,15y_10d,15y_12d,15y_15d,15y_18d,15y_20d,30y_10d,30y_12d,30y_15d,30y_18d,30y_20d
58,0.0058000000000000005,0.005221860826621848,0.005105819474919141,0.004931757447365078,0.004757695419811017,0.004641654068108309,0.0027244069160191546,0.002663864540107618,0.0025730509762403125,0.0024822374123730077,0.0024216950364614707
59,0.0059,0.005225741275862655,0.005109613691954596,0.004935422316092506,0.004761230940230419,0.00464510335632236,0.0027283864010280772,0.0026677555921163425,0.002576809378748739,0.0024858631653811372,0.002425232356469402
60,0.006,0.0052296235971953245,0.0051134097394798725,0.004939088952906695,0.004764768166333518,0.004648554308618066,0.002732369621530477,0.0026716502966075773,0.0025805713092232276,0.002489492321838879,0.0024287729969159795
61,0.0061,0.00523350779054868,0.005117207617425377,0.0049427573577404205,0.004768307098055464,0.004652006924932161,0.002736356577081322,0.0026755486531461815,0.0025843367672434706,0.00249312488134076,0.0024323169574056195
62,0.006200000000000001,0.005237393855848418,0.0051210073257184525,0.004946427530523505,0.0047718477353285585,0.004655461205198594,0.0027403472672277904,0.002679450661289395,0.002588105752381802,0.002496760843474209,0.0024358642375358138
63,0.0063,0.005241281793019389,0.005124808864285625,0.0049500994711849785,0.004775390078084332,0.004658917149350569,0.0027443416915104205,0.002683356320587967,0.002591878264204286,0.0025004002078206056,0.002439414836898152
64,0.0064,0.005245171601987692,0.005128612233054632,0.0049537731796550424,0.0047789341262554534,0.0046623747573223935,0.0027483398494641442,0.002687265630587163,0.002595654302271692,0.0025040429739562205,0.0024429687550792394
65,0.006500000000000001,0.005249063282672318,0.0051324174319462654,0.004957448655857189,0.004782479879768112,0.00466583402904206,0.0027523417406141296,0.0026911785908227044,0.002599433866135567,0.0025076891414484294,0.002446525991657004
66,0.0066,0.005252956834997727,0.0051362244608866665,0.004961125899720076,0.004786027338553485,0.004669294964442424,0.0027563473644820536,0.0026950952008268974,0.002603216955344162,0.002511338709861427,0.0024500865462062705
67,0.0067,0.005256852258885417,0.005140033319799074,0.0049648049111695606,0.004789576502540047,0.004672757563453704,0.002760356720581913,0.0026990154601245374,0.0026070035694384735,0.00251499167875241,0.002453650418295034
68,0.0068000000000000005,0.005260749554258028,0.0051438440086078495,0.004968485690132582,0.004793127371657315,0.0046762218260071355,0.00276436980842205,0.002702939368234893,0.002610793707954158,0.002518648047673423,0.0024572176074862664
69,0.006900000000000001,0.005264648721031445,0.0051476565272307465,0.004972168236529698,0.0047966799458286505,0.004679687752027952,0.002768386627501242,0.0027068669246678805,0.0026145873704178394,0.0025223078161677984,0.0024607881133344375
70,0.007,0.005268549759126653,0.005151470875590505,0.004975852550286283,0.004800234224982062,0.004683155341445914,0.0027724071773146007,0.0027107981289298316,0.002618384556352678,0.0025259709837755252,0.0024643619353907557
71,0.0071,0.005272452668461809,0.005155287053607103,0.004979538631325042,0.004803790209042982,0.004686624594188275,0.00277643145734963,0.0027147329805196387,0.0026221852652746507,0.0025296375500296633,0.0024679390731996713
72,0.007200000000000001,0.005276357448956091,0.005159105061201511,0.00498322647956964,0.004807347897937771,0.004690095510183192,0.0027804594670881445,0.00271867147893063,0.0026259894966943584,0.002533307514458087,0.0024715195263005727
