,date,cpi
814,1938-11,14.0
815,1938-12,14.0
816,1939-01,14.0
817,1939-02,13.9
818,1939-03,13.9
819,1939-04,13.8
820,1939-05,13.8
821,1939-06,13.8
822,1939-07,13.8
823,1939-08,13.8
824,1939-09,14.1
825,1939-10,14.0
826,1939-11,14.0
827,1939-12,14.0
828,1940-01,13.9
829,1940-02,14.0
830,1940-03,14.0
831,1940-04,14.0
832,1940-05,14.0
833,1940-06,14.1
834,1940-07,14.0
835,1940-08,14.0
836,1940-09,14.0
837,1940-10,14.0
838,1940-11,14.0
839,1940-12,14.1
840,1941-01,14.1
841,1941-02,14.1
842,1941-03,14.2
843,1941-04,14.3
844,1941-05,14.4
845,1941-06,14.7
846,1941-07,14.7
847,1941-08,14.9
848,1941-09,15.1
849,1941-10,15.3
850,1941-11,15.4
851,1941-12,15.5
852,1942-01,15.7
853,1942-02,15.8
854,1942-03,16.0
855,1942-04,16.1
856,1942-05,16.3
857,1942-06,16.3
858,1942-07,16.4
859,1942-08,16.5
860,1942-09,16.5
861,1942-10,16.7
862,1942-11,16.8
863,1942-12,16.9
864,1943-01,16.9
865,1943-02,16.9
866,1943-03,17.2
867,1943-04,17.4
868,1943-05,17.5
869,1943-06,17.5
870,1943-07,17.4
871,1943-08,17.3
872,1943-09,17.4
873,1943-10,17.4
874,1943-11,17.4
875,1943-12,17.4
876,1944-01,17.4
877,1944-02,17.4
878,1944-03,17.4
879,1944-04,17.5
880,1944-05,17.5
881,1944-06,17.6
882,1944-07,17.7
883,1944-08,17.7
884,1944-09,17.7
885,1944-10,17.7
886,1944-11,17.7
887,1944-12,17.8
888,1945-01,17.8
889,1945-02,17.8
890,1945-03,17.8
891,1945-04,17.8
892,1945-05,17.9
893,1945-06,18.1
894,1945-07,18.1
895,1945-08,18.1
896,1945-09,18.1
897,1945-10,18.1
898,1945-11,18.1
899,1945-12,18.2
900,1946-01,18.2
901,1946-02,18.1
902,1946-03,18.3
903,1946-04,18.4
904,1946-05,18.5
905,1946-06,18.7
906,1946-07,19.8
907,1946-08,20.2
908,1946-09,20.4
909,1946-10,20.8
910,1946-11,21.3
911,1946-12,21.5
912,1947-01,21.5
913,1947-02,21.5
914,1947-03,21.9
915,1947-04,21.9
916,1947-05,21.9
917,1947-06,22.0
918,1947-07,22.2
919,1947-08,22.5
920,1947-09,23.0
921,1947-10,23.0
922,1947-11,23.1
923,1947-12,23.4
924,1948-01,23.7
925,1948-02,23.5
926,1948-03,23.4
927,1948-04,23.8
928,1948-05,23.9
929,1948-06,24.1
930,1948-07,24.4
931,1948-08,24.5
932,1948-09,24.5
933,1948-10,24.4
934,1948-11,24.2
935,1948-12,24.1
936,1949-01,24.0
937,1949-02,23.8
938,1949-03,23.8
939,1949-04,23.9
940,1949-05,23.8
941,1949-06,23.9
942,1949-07,23.7
943,1949-08,23.8
944,1949-09,23.9
945,1949-10,23.7
946,1949-11,23.8
947,1949-12,23.6
948,1950-01,23.5
949,1950-02,23.5
950,1950-03,23.6
951,1950-04,23.6
952,1950-05,23.7
953,1950-06,23.8
954,1950-07,24.1
955,1950-08,24.3
956,1950-09,24.4
957,1950-10,24.6
958,1950-11,24.7
959,1950-12,25.0
960,1951-01,25.4
961,1951-02,25.7
962,1951-03,25.8
963,1951-04,25.8
964,1951-05,25.9
965,1951-06,25.9
966,1951-07,25.9
967,1951-08,25.9
968,1951-09,26.1
969,1951-10,26.2
970,1951-11,26.4
971,1951-12,26.5
972,1952-01,26.5
973,1952-02,26.3
974,1952-03,26.3
975,1952-04,26.4
976,1952-05,26.4
977,1952-06,26.5
978,1952-07,26.7
979,1952-08,26.7
980,1952-09,26.7
981,1952-10,26.7
982,1952-11,26.7
983,1952-12,26.7
984,1953-01,26.6
985,1953-02,26.5
986,1953-03,26.6
987,1953-04,26.6
988,1953-05,26.7
989,1953-06,26.8
990,1953-07,26.8
991,1953-08,26.9
992,1953-09,26.9
993,1953-10,27.0
994,1953-11,26.9
995,1953-12,26.9
996,1954-01,26.9
997,1954-02,26.9
998,1954-03,26.9
999,1954-04,26.8
1000,1954-05,26.9
1001,1954-06,26.9
1002,1954-07,26.9
1003,1954-08,26.9
1004,1954-09,26.8
1005,1954-10,26.8
1006,1954-11,26.8
1007,1954-12,26.7
1008,1955-01,26.7
1009,1955-02,26.7
1010,1955-03,26.7
1011,1955-04,26.7
1012,1955-05,26.7
1013,1955-06,26.7
1014,1955-07,26.8
1015,1955-08,26.8
1016,1955-09,26.9
1017,1955-10,26.9
1018,1955-11,26.9
1019,1955-12,26.8
1020,1956-01,26.8
1021,1956-02,26.8
1022,1956-03,26.8
1023,1956-04,26.9
1024,1956-05,27.0
1025,1956-06,27.2
1026,1956-07,27.4
1027,1956-08,27.3
1028,1956-09,27.4
1029,1956-10,27.5
1030,1956-11,27.5
1031,1956-12,27.6
1032,1957-01,27.6
1033,1957-02,27.7
1034,1957-03,27.8
1035,1957-04,27.9
1036,1957-05,28.0
1037,1957-06,28.1
1038,1957-07,28.3
1039,1957-08,28.3
1040,1957-09,28.3
1041,1957-10,28.3
1042,1957-11,28.4
1043,1957-12,28.4
1044,1958-01,28.6
1045,1958-02,28.6
1046,1958-03,28.8
1047,1958-04,28.9
1048,1958-05,28.9
1049,1958-06,28.9
1050,1958-07,29.0
1051,1958-08,28.9
1052,1958-09,28.9
1053,1958-10,28.9
1054,1958-11,29.0
1055,1958-12,28.9
1056,1959-01,29.0
1057,1959-02,28.9
1058,1959-03,28.9
1059,1959-04,29.0
1060,1959-05,29.0
1061,1959-06,29.1
1062,1959-07,29.2
1063,1959-08,29.2
1064,1959-09,29.3
1065,1959-10,29.4
1066,1959-11,29.4
1067,1959-12,29.4
1068,1960-01,29.3
1069,1960-02,29.4
1070,1960-03,29.4
1071,1960-04,29.5
1072,1960-05,29.5
1073,1960-06,29.6
1074,1960-07,29.6
1075,1960-08,29.6
1076,1960-09,29.6
1077,1960-10,29.8
1078,1960-11,29.8
1079,1960-12,29.8
1080,1961-01,29.8
1081,1961-02,29.8
1082,1961-03,29.8
1083,1961-04,29.8
1084,1961-05,29.8
1085,1961-06,29.8
1086,1961-07,30.0
1087,1961-08,29.9
1088,1961-09,30.0
1089,1961-10,30.0
1090,1961-11,30.0
1091,1961-12,30.0
1092,1962-01,30.0
1093,1962-02,30.1
1094,1962-03,30.1
1095,1962-04,30.2
1096,1962-05,30.2
1097,1962-06,30.2
1098,1962-07,30.3
1099,1962-08,30.3
1100,1962-09,30.4
1101,1962-10,30.4
1102,1962-11,30.4
1103,1962-12,30.4
1104,1963-01,30.4
1105,1963-02,30.4
1106,1963-03,30.5
1107,1963-04,30.5
1108,1963-05,30.5
1109,1963-06,30.6
1110,1963-07,30.7
1111,1963-08,30.7
1112,1963-09,30.7
1113,1963-10,30.8
1114,1963-11,30.8
1115,1963-12,30.9
1116,1964-01,30.9
1117,1964-02,30.9
1118,1964-03,30.9
1119,1964-04,30.9
1120,1964-05,30.9
1121,1964-06,31.0
1122,1964-07,31.1
1123,1964-08,31.0
1124,1964-09,31.1
1125,1964-10,31.1
1126,1964-11,31.2
1127,1964-12,31.2
1128,1965-01,31.2
1129,1965-02,31.2
