date,median_income
2021-03,71400.09
2021-04,71677.32
2021-05,71954.55
2021-06,72231.78
2021-07,72509.01
2021-08,72786.25
2021-09,73063.48
2021-10,73340.71
2021-11,73617.94
2021-12,73895.17
2022-01,74172.40
2022-02,74708.86
2022-03,75245.33
2022-04,75781.80
2022-05,76318.26
2022-06,76854.73
2022-07,77391.20
2022-08,77927.66
2022-09,78464.13
2022-10,79000.60
2022-11,79537.07
2022-12,80073.53
2023-01,80610.00
2023-02,80656.65
2023-03,80703.30
2023-04,80749.95
2023-05,80796.60
2023-06,80843.25
2023-07,80889.90
2023-08,80936.55
2023-09,80983.19
2023-10,81029.84
2023-11,81076.49
2023-12,81123.14
2024-01,81169.79
2024-02,81269.75
2024-03,81369.72
2024-04,81469.68
2024-05,81569.64
2024-06,81669.61
2024-07,81769.57
2024-08,81869.53
2024-09,81969.49
2024-10,82069.46
2024-11,82169.42
2024-12,82269.38
